id,type,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,start_date_local,start_latlng,kilojoules,average_heartrate,max_heartrate,elev_high,elev_low,average_speed,max_speed,location_city,location_state,location_country,timezone,summary_polyline
9973721849,Run,Amersham on the Hill,7505.9,3536,3546,38.2,2023-09-08 05:42:26+00:00,2023-09-08T06:42:26Z,"[51.6754150763154, -0.607643136754632]",,148.0,158.0,153.0,145.6,2.123,3.208,,,,(GMT+00:00) Europe/London,izkzHxtuBEMMSjCLPJRER?RC@]I}@GYC[?eAB_AJ{AQ_BGYKWA]G_@c@c@q@y@e@_@qA}ASKs@{@s@q@iAaA]a@QMo@y@[m@?_@F]Tw@n@kBdAuBL]~AkD~AiEf@kANOv@j@zAz@fAdAt@l@PHJXG~@UxAK|A[dC?Vl@hBJzA?|@Kx@Uv@Ot@SxAa@lAU|AYl@ONOO]i@_@a@wAuA]c@c@a@i@o@qDcDmAiBE[Jw@p@eBRq@dAwBTo@jBaE`@oALS|@eCPONPPFb@Xd@VfAz@dA`APH^\@`@C\k@lFQtAC^D^LLLTNr@J|@?VEhAMv@YnA]tBg@lBOz@[j@Q?Yg@_@g@_@_@YQk@m@QQKWe@]_@e@a@[_@c@a@]o@q@q@k@_AuAC[D_@FYr@mBbBaEh@aAz@sBhAsCH[n@_Bf@PlBjAzCfCD\KtAG\_@~DUxAHX\n@JXNvAC~@SvAOv@KVK|@S|@Up@Oz@E^Wl@OROMaAoAwAsAm@w@q@m@cBgBcB}AOSa@c@MUGY@a@F[nAkD`AsBf@oA~@oBb@gAh@mA^oAXo@PInBnAHLPFr@h@NRdAx@NV?^G`Ae@rEStAC^NNZj@H\LxAA~@Kv@c@hBK|@Ov@y@dD[n@SM[e@u@y@qAoA]e@gAcAo@w@e@]aA_A}AiBKWF{@`@qAZm@Ts@Zk@|@uBVo@Zk@Xo@nCgHfAp@d@RtAfA^`@dAt@F\E|@Kv@A\MtAe@nD^h@LXH\H~@B~@C^M~@e@lBC`@E\WtAKT[rAi@bAA^f@fBB\?^MzAA|@@fARxAC^y@BSFe@BSKy@Kg@Ag@B
9973593503,Walk,Afternoon Walk,3045.1,1996,2058,33.0,2023-09-07 16:24:31+00:00,2023-09-07T17:24:31Z,"[51.6759386099875, -0.607600137591362]",,94.9,122.0,169.0,148.6,1.526,3.44,,,,(GMT+00:00) Europe/London,q}kzHntuBINDJHOAAy@Uw@Ew@NI?EEg@iAu@oA]_@_@i@[Wo@w@k@oAu@oBa@g@?KXy@ASUWUCECq@s@Sk@Oq@?c@MWmA_Eg@mA{@oCO]DwBCy@O}BUmFOeBAoAMkBGKC@i@nCKp@MdBErASbAUzBSbAQd@GZa@`AK`@UbDMfDVdACNINCn@D`EBx@CbAAlA@|@E~A@l@En@F~A?bBCfBIvBAdAGbAA|ALHFCLSbAkAZc@NOZOVEz@UPIROHDNGNMFKVs@RGR_Az@qCRcAt@cCj@yBf@uAFIHJZz@l@nAh@|@Z^b@ZHBFUN?@QLQCOLSLg@EAABE`@MXC?ECS@AFBRHR^n@T^Z\z@`BRXjAL~@IbA^PXKu@[eABF
9973721886,Walk,Amersham on the Hill,3045.1,2014,2077,19.9,2023-09-07 16:24:13+00:00,2023-09-07T17:24:13Z,"[51.6759386099875, -0.607600137591362]",,94.6,123.0,164.3,147.4,1.512,3.44,,,,(GMT+00:00) Europe/London,q}kzHntuBINDJHOAAy@Uw@Ew@NI?EEi@kA_@k@Sa@]_@_@i@[Wm@u@s@}Ao@cBa@g@?KVu@?WUWYEq@u@Uk@Oq@?c@MWmA_Ei@qAy@kCO]DwBCy@O}BUeFOoBAmAMkBEICAOj@g@xCMbBErASbAUxBSdAQf@GXa@`AK`@UbDMbD@LTz@CNINCn@D`EDz@E~@ArA@x@E~A@f@Et@F~A?|AChBIzBAdAGhAAvAJHHAJQdAoAZc@LM\QVEz@UPIROJDRMRUTq@RGR_Az@qCP}@v@iCh@uBh@yAFIHJXx@n@pAh@|@d@h@\TDAFSPA?QLQACA@?ILSLi@?EC?EJCXKXGDEA@CA@IAG@AFBRHR^n@Vb@XXz@`BRXjAL~@IbA^PXKu@[eABF
9973593428,Workout,Mixed Cardio,0.0,369,369,0.0,2023-09-06 21:46:59+00:00,2023-09-06T22:46:59Z,[],,87.9,102.0,0.0,0.0,0.0,0.0,,,,(GMT+01:00) Africa/Algiers,
9973593483,Walk,Amersham on the Hill,3864.0,2901,3015,38.8,2023-09-05 18:17:39+00:00,2023-09-05T19:17:39Z,"[51.67590566910803, -0.6076415441930294]",,92.1,106.0,162.6,148.4,1.332,2.457,,,,(GMT+00:00) Europe/London,k}kzHxtuBIUYMK?MF_@?_@Ds@AKEMOcA{B]SSWUQYg@[WSWUq@m@gA]_Ag@q@?IX}@?UEIIIOEKDCAo@w@_@{ACi@Sa@Os@Ym@Ic@s@gBi@iBQ]Ka@MSAKJmBAs@Ic@EqAG[CqAGo@GaBIeAGYEcCMuAVyAHcA@[Ie@Q[EOGy@O_AKwAJi@@s@NkBBYDKDCH?t@\PPFBg@c@s@UKJEPA\Gr@Aj@EZKX?XJbCR|@RhB?d@Er@UdBDFHLDLFrCJ`AHzA@t@JtAFvAAVHbAFd@@~@G~@@j@h@hAh@~ATd@j@vBHR\nATf@CHd@tBp@t@F?LCHN@`@KlADPt@fAnAlCj@t@?NHPb@b@`@Zj@tAEELFBPGVQHU@c@RS?MDE?GMSyBHd@B~@Hb@FD^Mp@GNJNALHf@J^^NET^j@p@T\Xj@Vn@NPi@qAm@kA]g@WSSCMUIE{@AMGe@YG@QLa@?]FuA`@i@HyBr@E?CEAGLLL?d@SBEAE@DB@LAXKvBe@d@Qz@QZ@`@GJMFYFGDBHRFDR@l@Ej@Nd@Er@LBBA@
9973593355,Walk,Amersham on the Hill,582.3,355,690,4.8,2023-09-04 11:48:10+00:00,2023-09-04T12:48:10Z,"[51.67631101794541, -0.6075529474765062]",,98.6,111.0,160.0,153.8,1.64,2.63,,,,(GMT+00:00) Europe/London,}_lzHftuBE@QEeACGAOMm@sA]i@UUc@m@UQKEIJ?LDCFKb@oAA@?@KIB?JRYTJC?FGBKLCJ?FvA`B^p@Rd@Z`@JDhAEVDzA@F@@DIk@CN
9973721953,Workout,Water Sports,0.0,2544,2544,0.0,2023-09-01 18:20:29+00:00,2023-09-01T14:20:29Z,[],,96.7,138.0,0.0,0.0,0.0,0.0,,,,(GMT-04:00) America/Anguilla,
9973721967,Workout,Water Sports,0.0,2922,2922,0.0,2023-08-29 15:54:46+00:00,2023-08-29T11:54:46Z,[],,86.5,138.0,0.0,0.0,0.0,0.0,,,,(GMT-04:00) America/Anguilla,
9973722025,Walk,Indoor Walking,509.7,650,650,0.0,2023-08-29 01:10:46+00:00,2023-08-28T21:10:46Z,[],,81.5,95.0,0.0,0.0,0.784,4.816,,,,(GMT-04:00) America/Anguilla,
9973722029,Workout,Water Sports,0.0,823,823,0.0,2023-08-28 13:57:18+00:00,2023-08-28T09:57:18Z,[],,110.1,149.0,0.0,0.0,0.0,0.0,,,,(GMT-04:00) America/Anguilla,
